Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Price
1568.0,3,2.0,28,3.8,221726.0
2401.0,2,1.0,12,13.5,291352.0
1531.0,5,1.0,12,8.4,257556.0
1730.0,2,1.0,24,6.4,203524.0
2501.0,4,1.0,30,22.3,337105.0
2109.0,1,2.0,8,15.2,250069.0
1645.0,1,2.0,2,12.7,212307.0
1971.0,4,3.0,20,15.9,244966.0
957.0,4,3.0,33,13.8,152337.0
895.0,1,3.0,14,2.3,113303.0
2061.0,3,3.0,23,3.4,319691.0
3453.0,4,1.0,16,3.8,457529.0
3006.0,3,1.0,36,21.0,346592.0
3312.0,2,1.0,19,20.5,344783.0
2142.0,1,1.0,27,10.4,237616.0
1484.0,1,1.0,33,12.5,187814.0
2441.0,3,1.0,11,15.7,302846.0
1083.0,2,2.0,37,8.6,145233.0
500.0,2,1.0,24,6.5,86133.0
2055.0,3,1.0,38,23.7,230102.0
2420.0,3,2.0,10,24.9,309052.0
2223.0,5,2.0,28,17.8,348453.0
2730.0,1,1.0,39,2.8,302712.0
2259.0,5,2.0,15,19.0,342182.0
2008.0,2,1.0,0,2.5,264011.0
1168.0,2,1.0,23,17.2,111253.0
1722.0,3,3.0,35,17.9,207673.0
1091.0,3,3.0,7,1.2,216893.0
1579.0,2,1.0,12,11.4,206674.0
2942.0,4,1.0,36,11.2,374969.0
1926.0,2,3.0,27,13.0,231971.0
2026.0,5,1.0,17,5.3,338230.0
1384.0,1,2.0,29,6.9,136792.0
3362.0,5,1.0,20,10.7,517862.0
610.0,4,1.0,37,0.6,60200.0
1244.0,1,1.0,24,2.4,170463.0
2368.0,5,2.0,22,17.1,326801.0
1350.0,2,1.0,7,15.3,127372.0
1323.0,5,3.0,19,5.6,254745.0
2105.0,2,1.0,32,16.1,239410.0
2249.0,5,3.0,2,13.4,310382.0
2210.0,1,1.0,27,14.2,232444.0
1286.0,5,1.0,1,1.5,218317.0
2252.0,2,2.0,22,22.1,286150.0
1074.0,2,1.0,18,25.0,111403.0
1249.0,2,3.0,7,11.0,179927.0
1202.0,2,2.0,8,22.7,132182.0
1997.0,5,2.0,37,5.6,285246.0
1589.0,2,2.0,38,8.8,166926.0
1229.0,3,2.0,33,17.8,183662.0
1819.0,1,2.0,7,10.2,206927.0
1186.0,3,2.0,14,0.7,151423.0
1497.0,4,2.0,13,2.4,237426.0
1613.0,3,1.0,0,23.2,237453.0
1459.0,1,,13,24.7,201700.0
1196.0,4,2.0,39,19.4,105463.0
1051.0,4,3.0,9,10.8,185736.0
2459.0,2,1.0,16,14.3,297351.0
559.0,4,3.0,13,14.3,84801.0
1979.0,5,2.0,21,17.9,232924.0
1317.0,2,1.0,35,10.0,178138.0
1375.0,1,1.0,30,24.0,92610.0
730.0,5,1.0,11,13.7,116476.0
,5,3.0,17,20.6,261527.0
1467.0,4,1.0,0,1.2,244675.0
2435.0,2,2.0,34,14.5,308989.0
1461.0,5,3.0,29,21.6,200390.0
1146.0,4,1.0,6,23.9,185708.0
1079.0,4,3.0,22,22.6,175703.0
2374.0,5,3.0,13,11.6,362104.0
2141.0,4,1.0,0,22.0,287595.0
1590.0,4,1.0,0,3.8,254618.0
2795.0,5,2.0,14,,429667.0
1960.0,5,2.0,37,17.7,269238.0
1623.0,3,2.0,38,7.5,179198.0
2111.0,5,3.0,22,23.6,250285.0
1139.0,2,3.0,7,14.1,178205.0
1860.0,4,1.0,9,21.8,288238.0
1121.0,5,3.0,31,19.4,178978.0
2145.0,4,3.0,4,6.5,296040.0
2180.0,2,2.0,34,23.7,203970.0
1734.0,1,1.0,30,2.9,248149.0
2446.0,2,2.0,26,0.8,273356.0
1378.0,4,1.0,18,12.5,186301.0
2123.0,3,3.0,29,7.7,245454.0
1725.0,2,1.0,10,2.1,236108.0
1107.0,4,1.0,20,21.9,121835.0
2213.0,2,3.0,19,23.3,249487.0
2819.0,4,3.0,15,20.8,386061.0
3657.0,2,2.0,1,14.1,443176.0
1855.0,2,3.0,33,1.3,209344.0
2088.0,5,3.0,23,12.7,284185.0
2825.0,2,2.0,14,22.6,351493.0
1170.0,3,1.0,12,9.6,164221.0
2710.0,3,3.0,18,18.9,363796.0
804.0,4,1.0,21,18.2,84004.0
1107.0,5,3.0,34,16.2,161697.0
1666.0,4,2.0,14,7.1,251242.0
1570.0,2,2.0,37,13.2,152579.0
2380.0,2,3.0,36,14.8,301599.0
1159.0,1,2.0,2,22.1,148272.0
1724.0,4,1.0,12,7.9,293373.0
1591.0,1,3.0,39,17.9,163516.0
1898.0,3,1.0,31,3.2,204023.0
2168.0,1,1.0,28,11.6,211753.0
2360.0,4,1.0,15,18.5,323594.0
1993.0,2,1.0,2,16.1,265362.0
2030.0,3,2.0,33,9.1,232041.0
1830.0,2,3.0,24,9.5,254657.0
863.0,4,3.0,34,4.7,135319.0
704.0,4,2.0,14,24.1,76454.0
2016.0,2,2.0,28,22.6,218930.0
967.0,3,2.0,34,,155363.0
1326.0,3,3.0,4,18.4,208524.0
1931.0,5,3.0,34,20.6,260146.0
1589.0,3,2.0,25,3.4,191275.0
,1,3.0,5,2.3,176978.0
1258.0,4,1.0,13,1.7,185820.0
1822.0,4,2.0,18,20.5,218643.0
2680.0,5,2.0,30,1.6,414048.0
781.0,2,1.0,15,22.4,92305.0
1653.0,1,3.0,25,19.3,149261.0
2377.0,1,1.0,19,0.5,311867.0
1958.0,3,1.0,13,21.0,249580.0
1441.0,1,3.0,8,24.3,145956.0
,1,2.0,13,16.3,195586.0
2045.0,3,1.0,7,7.5,307245.0
2410.0,1,1.0,38,17.0,249184.0
841.0,3,3.0,17,11.2,158417.0
1283.0,1,1.0,22,20.0,105368.0
1966.0,5,1.0,10,15.7,286930.0
2060.0,4,2.0,2,14.2,309214.0
1946.0,5,2.0,5,10.9,299816.0
2047.0,1,1.0,5,21.5,229938.0
2330.0,4,3.0,3,9.6,369997.0
2075.0,5,3.0,8,21.0,301871.0
